Jugador,Equipo,Competición,Posición,Edad,Partidos,Minutos,Goles,Asistencias,xG,xAG,npxG,ValorMercado,PasesCompletados,IntentosPase,PctPasesCompletados,DistanciaTotalPases,DistanciaProgresiva,PasesClave,Entradas,Intercepciones,Bloqueos,TarjetasAmarillas,TarjetasRojas,Goles_Asistencias,xG_xAG,Equiv_90min,EntradasGanadas,AsistDesdeCruzados,Tiros,TirosAlArco
Frenkie de Jong,Barcelona,La Liga,MF,27,18,723,2,2,0.6,1.8,0.6,45000000.0,645,687,93.9,9700,2727,16,12,3,5,2,0,4,0.3,8.0,7,0,4,3
Brahim Díaz,Real Madrid,La Liga,"FW,MF",25,25,1161,4,2,4.5,2.5,4.5,45000000.0,474,548,86.5,6112,1542,18,21,4,13,0,0,6,0.55,12.9,16,0,21,10
Christopher Nkunku,Chelsea,Premier League,FW,27,25,872,3,2,4.7,2.0,4.6,45000000.0,285,319,89.3,3793,738,13,12,7,9,2,0,5,0.69,9.7,8,0,24,11
Marc Guéhi,Crystal Palace,Premier League,DF,24,29,2609,3,2,1.7,1.1,1.7,45000000.0,1271,1524,83.4,24592,10122,10,53,23,50,9,1,5,0.1,29.0,29,3,12,6
Arda Güler,Real Madrid,La Liga,"MF,FW",20,20,715,1,3,1.9,2.3,1.9,45000000.0,403,467,86.3,6565,1557,23,19,4,13,1,0,4,0.54,7.9,8,3,23,9
Kaoru Mitoma,Brighton,Premier League,"FW,MF",27,31,2467,7,3,7.5,4.4,7.5,45000000.0,685,908,75.4,8927,2036,35,41,13,45,1,0,10,0.44,27.4,24,8,50,23
Dominic Solanke,Tottenham,Premier League,FW,27,21,1868,7,3,9.2,2.8,9.2,45000000.0,230,323,71.2,3067,838,13,18,0,15,0,0,10,0.58,20.8,11,0,52,21
Destiny Udogie,Tottenham,Premier League,DF,22,23,1744,0,1,0.3,1.4,0.3,45000000.0,915,1046,87.5,13224,4433,15,71,19,37,2,0,1,0.09,19.4,44,1,5,1
Willian Pacho,Paris S-G,Ligue 1,DF,23,25,1923,0,1,0.2,0.2,0.2,45000000.0,1681,1772,94.9,30017,8734,2,51,36,35,2,0,1,0.02,21.4,31,0,3,1
Dušan Vlahović,Juventus,Serie A,FW,25,23,1568,9,2,10.9,1.1,7.8,45000000.0,208,303,68.6,3195,319,13,2,1,7,3,0,11,0.69,17.4,1,0,60,21
Kenan Yıldız,Juventus,Serie A,"FW,MF",19,29,1966,5,2,3.8,3.9,3.8,45000000.0,673,846,79.6,10358,2642,38,50,5,23,1,0,7,0.35,21.8,27,11,49,18
Alessandro Buongiorno,Napoli,Serie A,DF,25,21,1861,1,0,0.8,0.6,0.8,45000000.0,1119,1234,90.7,19588,6208,5,37,34,27,2,0,1,0.07,20.7,22,0,8,4
Victor Boniface,Leverkusen,Bundesliga,FW,24,17,989,8,1,7.8,1.1,7.1,45000000.0,167,235,71.1,2336,494,10,5,0,1,2,0,9,0.81,11.0,4,2,50,17
Bernardo Silva,Manchester City,Premier League,"MF,FW",30,26,2041,2,4,3.0,4.2,3.0,45000000.0,1093,1268,86.2,16494,3044,41,39,17,23,5,0,6,0.32,22.7,26,7,27,9
Gonçalo Ramos,Paris S-G,Ligue 1,FW,23,16,728,6,2,8.7,1.6,7.9,45000000.0,132,164,80.5,1504,236,11,11,0,4,0,0,8,1.27,8.1,6,0,36,20
Sandro Tonali,Newcastle Utd,Premier League,MF,24,27,1820,2,1,3.2,0.6,3.2,45000000.0,833,1010,82.5,12813,3295,11,41,24,24,5,0,3,0.19,20.2,27,3,24,8
Jarrod Bowen,West Ham,Premier League,"FW,MF",28,27,2366,8,5,6.8,5.3,6.1,45000000.0,463,652,71.0,7655,2318,44,35,15,20,1,0,13,0.46,26.3,23,6,70,28
Sven Botman,Newcastle Utd,Premier League,DF,25,3,224,0,0,0.0,0.0,0.0,45000000.0,113,128,88.3,1909,767,0,5,4,2,1,0,0,0.01,2.5,3,0,1,0
Pedro Porro,Tottenham,Premier League,DF,25,29,2283,2,5,1.5,3.2,1.5,45000000.0,1203,1639,73.4,20757,8144,44,58,32,39,3,0,7,0.18,25.4,42,21,35,8
Rasmus Højlund,Manchester Utd,Premier League,FW,22,25,1479,3,0,3.0,1.2,3.0,45000000.0,187,243,77.0,2029,348,13,3,1,4,2,0,3,0.25,16.4,1,0,21,9
Dean Huijsen,Bournemouth,Premier League,DF,19,25,1874,2,1,1.7,1.9,1.7,42000000.0,1004,1201,83.6,20524,8231,13,31,45,32,7,0,3,0.17,20.8,21,2,15,2
Serhou Guirassy,Dortmund,Bundesliga,FW,29,24,2073,15,1,17.3,3.7,15.7,40000000.0,346,469,73.8,4403,655,22,3,4,8,3,0,16,0.91,23.0,2,0,72,25
Gabriel Jesus,Arsenal,Premier League,FW,28,17,608,3,0,3.0,0.7,3.0,40000000.0,156,203,76.8,2030,378,8,10,4,10,4,0,3,0.54,6.8,6,1,20,7
Andrea Cambiaso,Juventus,Serie A,"DF,FW",25,26,1815,2,1,0.5,2.2,0.5,40000000.0,1268,1411,89.9,21209,4419,29,38,13,20,4,0,3,0.14,20.2,23,8,12,4
Amad Diallo,Manchester Utd,Premier League,"FW,MF",22,22,1594,6,6,4.1,3.9,4.1,40000000.0,658,794,82.9,9051,1880,39,33,11,10,3,0,12,0.45,17.7,26,5,40,13
Nico Schlotterbeck,Dortmund,Bundesliga,DF,25,23,1982,0,4,1.3,2.1,1.3,40000000.0,1856,2080,89.2,35474,13457,18,38,22,31,7,2,4,0.15,22.0,24,2,17,4
Theo Hernández,Milan,Serie A,DF,27,28,2254,3,3,2.5,4.3,1.7,40000000.0,1163,1385,84.0,18476,5774,41,29,14,22,4,1,6,0.27,25.0,22,11,36,10
Moise Kean,Fiorentina,Serie A,FW,25,28,2344,17,3,15.4,1.8,13.8,40000000.0,199,284,70.1,3101,492,16,7,4,12,5,0,20,0.66,26.0,5,1,86,38
Teun Koopmeiners,Juventus,Serie A,"MF,FW",27,26,1906,2,3,3.6,2.7,3.6,40000000.0,724,910,79.6,11521,2970,36,30,8,34,3,0,5,0.3,21.2,16,3,40,9
João Gomes,Wolves,Premier League,MF,24,29,2429,3,1,2.6,1.1,2.6,40000000.0,1112,1305,85.2,16140,4183,20,88,25,36,10,1,4,0.13,27.0,52,1,30,7
Mathys Tel,Bayern Munich,Bundesliga,"FW,MF",19,8,256,0,1,0.7,0.3,0.7,40000000.0,108,128,84.4,1721,329,1,2,1,0,0,0,1,0.36,2.8,2,1,10,3
Edmond Tapsoba,Leverkusen,Bundesliga,DF,26,23,2020,0,0,1.1,0.2,1.1,40000000.0,1389,1608,86.4,23758,8549,3,34,23,14,4,0,0,0.06,22.4,20,2,19,2
Khéphren Thuram,Juventus,Serie A,MF,24,28,1729,3,4,3.2,3.3,3.2,40000000.0,934,1057,88.4,14412,3335,20,29,9,23,4,0,7,0.34,19.2,13,0,28,7
